,component,x_max,x_min,y_max,y_min,height,width
0,div,40,10,879,229,30,650
1,div,39,10,1335,1279,29,56
2,div,91,63,207,21,28,186
3,div,179,100,1325,269,79,1056
4,div,2493,488,1327,267,2005,1060
5,div,573,544,77,21,29,56
6,div,2471,2442,835,760,29,75
7,div,2586,2557,542,380,29,162
8,div,2586,2557,690,558,29,132
9,div,2586,2557,849,706,29,143
10,div,2586,2557,941,865,29,76
11,div,2586,2557,1024,958,29,66
12,img,473,209,1222,372,264,850
13,img,645,535,483,287,110,196
14,img,645,535,689,493,110,196
15,img,645,535,895,699,110,196
16,img,645,535,1101,905,110,196
17,img,645,535,1307,1111,110,196
18,img,901,791,483,287,110,196
19,img,901,791,689,493,110,196
20,img,901,791,895,699,110,196
21,img,901,791,1101,905,110,196
22,img,901,791,1307,1111,110,196
23,img,1139,1029,483,287,110,196
24,img,1139,1029,689,493,110,196
25,img,1139,1029,895,699,110,196
26,img,1139,1029,1101,905,110,196
27,img,1139,1029,1307,1111,110,196
28,img,1377,1267,483,287,110,196
29,img,1377,1267,689,493,110,196
30,img,1377,1267,895,699,110,196
31,img,1377,1267,1101,905,110,196
32,img,1377,1267,1307,1111,110,196
33,img,1615,1505,483,287,110,196
34,img,1615,1505,689,493,110,196
35,img,1615,1505,895,699,110,196
36,img,1615,1505,1101,905,110,196
37,img,1615,1505,1307,1111,110,196
38,img,1853,1743,483,287,110,196
39,img,1853,1743,689,493,110,196
40,img,1853,1743,895,699,110,196
41,img,1853,1743,1101,905,110,196
42,img,1853,1743,1307,1111,110,196
43,img,2105,1995,483,287,110,196
44,img,2105,1995,689,493,110,196
45,img,2105,1995,895,699,110,196
46,img,2105,1995,1101,905,110,196
47,img,2105,1995,1307,1111,110,196
48,img,2343,2233,483,287,110,196
49,img,2343,2233,689,493,110,196
50,img,2343,2233,895,699,110,196
51,img,2343,2233,1101,905,110,196
