,component,x_max,x_min,y_max,y_min,height,width
0,div,40,10,1335,1279,30,56
1,div,92,63,207,21,29,186
2,div,180,100,1325,269,80,1056
3,div,574,544,77,21,30,56
4,div,666,652,1203,1111,14,92
5,div,2472,2442,835,760,30,75
6,div,2587,2557,542,380,30,162
7,div,2587,2557,690,558,30,132
8,div,2587,2557,849,706,30,143
9,div,2587,2557,941,865,30,76
10,div,2587,2557,1024,958,30,66
11,img,2494,489,1327,267,2005,1060
12,img,646,535,483,287,111,196
13,img,646,535,689,493,111,196
14,img,646,535,895,699,111,196
15,img,646,535,1101,905,111,196
16,img,646,535,1307,1111,111,196
17,img,902,791,483,287,111,196
18,img,902,791,895,699,111,196
19,img,902,791,1101,905,111,196
20,img,902,791,1307,1111,111,196
21,img,1140,1029,483,287,111,196
22,img,1140,1029,689,493,111,196
23,img,1140,1029,895,699,111,196
24,img,1140,1029,1101,905,111,196
25,img,1140,1029,1307,1111,111,196
26,img,1378,1267,483,287,111,196
27,img,1378,1267,689,493,111,196
28,img,1378,1267,895,699,111,196
29,img,1378,1267,1101,905,111,196
30,img,1378,1267,1307,1111,111,196
31,img,1616,1505,483,287,111,196
32,img,1616,1505,689,493,111,196
33,img,1616,1505,895,699,111,196
34,img,1616,1505,1101,905,111,196
35,img,1616,1505,1307,1111,111,196
36,img,1854,1743,483,287,111,196
37,img,1854,1743,689,493,111,196
38,img,1854,1743,895,699,111,196
39,img,1854,1743,1101,905,111,196
40,img,1854,1743,1307,1111,111,196
41,img,2106,1995,483,287,111,196
42,img,2106,1995,689,493,111,196
43,img,2106,1995,895,699,111,196
44,img,2106,1995,1101,905,111,196
45,img,2106,1995,1307,1111,111,196
46,img,2344,2233,483,287,111,196
47,img,2344,2233,689,493,111,196
48,img,2344,2233,895,699,111,196
49,img,2344,2233,1101,905,111,196
