,component,x_max,x_min,y_max,y_min,height,width
0,div,44,7,44,6,37,38
1,div,47,11,940,216,36,724
2,div,667,406,512,376,261,136
3,div,667,406,651,514,261,137
4,div,475,443,1325,1049,32,276
5,img,770,99,1364,0,671,1364
6,img,667,406,307,47,261,260
7,img,667,406,980,720,261,260
8,img,497,411,504,384,86,120
9,img,497,411,643,523,86,120
10,img,628,542,504,384,86,120
11,img,628,542,643,523,86,120
12,img,312,290,655,598,22,57
13,img,317,290,772,708,27,64
14,img,390,374,549,461,16,88
15,img,394,374,829,773,20,56
16,img,799,789,1345,19,10,1326
